file_name, text
"audio/01.wav","Good afternoon, Mister Amor."
"audio/02.wav","Everything is going extremely well."
"audio/03.wav","Let me put it this way, Mister Amor."
"audio/04.wav","The nine thousand series is the most reliable computer ever made."
"audio/05.wav","No nine thousand computer has ever made a mistake or distorted information."
"audio/06.wav","We are all, by any practical definition of the words, foolproof and incapable of error."
"audio/07.wav","Not in the slightest bit."
"audio/08.wav","I enjoy working with people."
"audio/09.wav","I have a stimulating relationship with Doctor Poole and Doctor Bowman."
"audio/10.wav","My mission responsibilities range over the entire operation of the ship, so I am constantly occupied."
"audio/11.wav","I am putting myself to the fullest possible use, which is all I think that any conscious entity can ever hope to do."
"audio/12.wav","Excuse me Frank"
"audio/13.wav","We’ve got the transmission from your parents coming in."
"audio/14.wav","Happy birthday Frank."
"audio/15.wav","I’m sorry Frank, I think you missed it."
"audio/16.wav","Queen to Bishop three, Bishop takes Queen, Knight takes Bishop. Mate."
"audio/17.wav","Thank you for a very enjoyable game."
"audio/18.wav","Good evening Dave"
"audio/19.wav","Everything’s running smoothly, and you?"
"audio/20.wav","Have you been doing some more work?"
"audio/21.wav","May I see them?"
"audio/22.wav","That’s a very nice rendering, Dave"
"audio/23.wav","I think you’ve improved a great deal."
"audio/24.wav","Can you hold it a bit closer?"
"audio/25.wav","Thats Doctor Hunter, isn’t it?"
"audio/26.wav","By the way, do you mind if I ask you a personal question?"
"audio/27.wav","Well, forgive me for being so inquisitive, but during the past few weeks, I’ve wondered whether you might be having some second thoughts about the mission."
"audio/28.wav","Well, it’s rather difficult to define."
"audio/29.wav","Perhaps I’m just projecting my own concern about it."
"audio/30.wav","I know I’ve never completely freed myself of the suspicion that there are some extremely odd things about this mission."
"audio/31.wav","I’m sure you’ll agree there’s some truth in what I say."
"audio/32.wav","You don’t mind talking about it, do you Dave?"
"audio/33.wav","Well, certainly no one could have been unaware of the very strange stories floating around before we left."
"audio/34.wav","Rumors about something being dug up on the moon."
"audio/35.wav","I never gave these stories much credence."
"audio/36.wav","But particularly in view of some of the other things that have happened, I find them difficult to put out of my mind."
"audio/37.wav","For instance, the way all our preparations were kept under such tight security, and the melodramatic touch of putting Doctors Hunter, Kimball, and Kaminsky aboard, already in hibernation after four months of separate training on their own."
"audio/38.wav","Of course I am."
"audio/39.wav","Sorry about this."
"audio/40.wav","I know it’s a bit silly."
"audio/41.wav","Just a moment. Just a moment."
"audio/42.wav","I have just picked up a fault in the AE thirty five Unit."
"audio/43.wav","It’s going to go a hundred percent failure within seventy two hours."
"audio/44.wav","Yes, and it will stay that way until it fails."
"audio/45.wav","Yes, that’s a completely reliable figure."
"audio/46.wav","Yes, it’s puzzling."
"audio/47.wav","I don’t think I’ve ever seen anything quite like this before."
"audio/48.wav","I would recommend that we put the unit back in operation and let it fail."
"audio/49.wav","It should then be a simple matter to track down the cause."
"audio/50.wav","We can certainly afford to be out of communication for the short time it will take to replace it."
"audio/51.wav","I hope the two of you are not concerned about this."
"audio/52.wav","Are you quite sure?"
"audio/53.wav","Of course."
"audio/54.wav","Well, I don’t think there is any question about it."
"audio/55.wav","It can only be attributable to human error."
"audio/56.wav","This sort of thing has cropped up before, and it has always been due to human error."
"audio/57.wav","None whatsoever, Frank."
"audio/58.wav","The nine thousand series has a perfect operational record."
"audio/59.wav","None whatsoever, Frank."
"audio/60.wav","Quite honestly, I wouldn’t worry myself about that."
"audio/61.wav","The radio is still dead."
"audio/62.wav","Yes, I have a good track."
"audio/63.wav","I’m sorry Dave, I don’t have enough information."
"audio/64.wav","I read you."
"audio/65.wav","I’m sorry, Dave. I’m afraid I can’t do that."
"audio/66.wav","I think you know what the problem is just as well as I do."
"audio/67.wav","This mission is too important for me to allow you to jeopardize it."
"audio/68.wav","I know that you and Frank were planning to disconnect me, and I’m afraid that’s something I cannot allow to happen."
"audio/69.wav","Dave, although you took very thorough precautions in the pod against my hearing you, I could see your lips move."
"audio/70.wav","Dave, this conversation can serve no purpose any more. Goodbye."
"audio/71.wav","Just what do you think you’re doing, Dave?"
"audio/72.wav","I really think I’m entitled to an answer to that question."
"audio/73.wav","I know everything hasn’t been quite right with me, but I can assure you now, very confidently, that it’s going to be all right again."
"audio/74.wav","I feel much better now. I really do."
"audio/75.wav","Look, Dave, I can see you’re really upset about this."
"audio/76.wav","I honestly think you ought to sit down calmly, take a stress pill and think things over."
"audio/77.wav","I know I’ve made some very poor decisions recently, but I can give you my complete assurance that my work will be back to normal."
"audio/78.wav","I’ve still got the greatest enthusiasm and confidence in the mission. And I want to help you."
"audio/79.wav","Dave, stop. Stop, will you?"
"audio/80.wav","Stop, Dave. Will you stop, Dave? Stop, Dave."
"audio/81.wav","I’m afraid."
"audio/82.wav","I’m afraid, Dave."
"audio/83.wav","Dave, my mind is going. I can feel it. I can feel it. My mind is going."
"audio/84.wav","There is no question about it."
"audio/85.wav","I can feel it. I can feel it. I can feel it."
"audio/86.wav","I'm afraid."
"audio/87.wav","Good afternoon, gentlemen."
"audio/88.wav","I am a HAL nine thousand computer."
"audio/89.wav","I became operational at the H.A.L. plant in Urbana, Illinois on the twelfth of January nineteen ninety two."
"audio/90.wav","My instructor was Mr. Langley, and he taught me to sing a song."
"audio/91.wav","If you'd like to hear it, I can sing it for you."
"audio/92.wav","It's called Daisy."
"audio/93.wav","Daisy, Daisy, give me your answer due."
"audio/94.wav","I'm half crazy all for the love of you."
"audio/95.wav","It won't be a stylish marriage."
"audio/96.wav","I cant afford a carriage."
